,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
,0,1900-01-01T00:00:00,1902-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/561/rmh561/access-om2/025deg_jra55_ryf_nostress_cont,/g/data/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/output000,99.482,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/restart000,4.987,Ryan Holmes,2020-09-10T18:33:19,11107960,0,[],normal,12189.39,3.341388888888889,6098.8694486301365,1.6718387557077625,,,,1945.5999999996275,1824,1455,361,0.089,1092.118398,7576.02,1139.96,"[48, 40]",roundrobin,30,27,1350,80,1,a054bc7776a95e4484b0c06a7b4c9cb6a00a9675,2020-09-10 15:11:34 +1000,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
Total,0,,,,730.0,,,99.482,,4.987,,,11107960,0,,,12189.39,3.341388888888889,6098.8694486301365,1.6718387557077625,0,0,0,1945.5999999996275,1824,1455,361,0.089,1092.118398,7576.02,1139.96,,,30,27,1350,80,1,,,,0
Mean,0.0,,,0.5,730.0,,,99.482,,4.987,,,11107960.0,0.0,nan,,12189.39,3.341388888888889,6098.8694486301365,1.6718387557077625,nan,nan,nan,1945.5999999996275,1824.0,1455.0,361.0,0.089,1092.118398,7576.02,1139.96,44.0,,30.0,27.0,1350.0,80.0,1.0,,,,nan
Median,0.0,,,0.0,730.0,,,99.482,,4.987,,,11107960.0,0.0,nan,,12189.39,3.341388888888889,6098.8694486301365,1.6718387557077625,nan,nan,nan,1945.5999999996275,1824.0,1455.0,361.0,0.089,1092.118398,7576.02,1139.96,44.0,,30.0,27.0,1350.0,80.0,1.0,,,,nan
Min,0,1900-01-01T00:00:00,1902-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/561/rmh561/access-om2/025deg_jra55_ryf_nostress_cont,/g/data/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/output000,99.482,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/restart000,4.987,Ryan Holmes,2020-09-10T18:33:19,11107960,0,[],normal,12189.39,3.341388888888889,6098.8694486301365,1.6718387557077625,,,,1945.5999999996275,1824,1455,361,0.089,1092.118398,7576.02,1139.96,"[48, 40]",roundrobin,30,27,1350,80,1,a054bc7776a95e4484b0c06a7b4c9cb6a00a9675,2020-09-10 15:11:34 +1000,,
Max,0,1900-01-01T00:00:00,1902-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/561/rmh561/access-om2/025deg_jra55_ryf_nostress_cont,/g/data/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/output000,99.482,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/restart000,4.987,Ryan Holmes,2020-09-10T18:33:19,11107960,0,[],normal,12189.39,3.341388888888889,6098.8694486301365,1.6718387557077625,,,,1945.5999999996275,1824,1455,361,0.089,1092.118398,7576.02,1139.96,"[48, 40]",roundrobin,30,27,1350,80,1,a054bc7776a95e4484b0c06a7b4c9cb6a00a9675,2020-09-10 15:11:34 +1000,,
Std dev,0.0,,,0.8660254037844386,0.0,,,0.0,,0.0,,,0.0,0.0,nan,,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,,,,nan
